left_distance_errors,right_distance_errors,left_bearing_errors,right_bearing_errors,ego_cov_list,left_cov_list,right_cov_list,ego_abs_error,left_abs_error,right_abs_error
0.11869581323117018,,0.0,,2.3681501150131226,2.0321951508522034,,0.015627298389605967,0.1366285091706274,
0.11869581323117018,,0.0,,2.3681501150131226,2.0321951508522034,,0.015627298389605967,0.1366285091706274,
0.11869581323117018,,0.0,,2.3681501150131226,2.0321951508522034,,0.015627298389605967,0.1366285091706274,
0.11869581323117018,,0.0,,2.3681501150131226,2.0321951508522034,,0.015627298389605967,0.1366285091706274,
0.11869581323117018,,0.0,,2.3681501150131226,2.0321951508522034,,0.015627298389605967,0.1366285091706274,
0.11869581323117018,,0.0,,2.3681501150131226,2.0321951508522034,,0.015627298389605967,0.1366285091706274,
0.11869581323117018,,0.0,,2.3681501150131226,2.0321951508522034,,0.015627298389605967,0.1366285091706274,
0.11869581323117018,,0.0,,2.3681501150131226,2.0321951508522034,,0.015627298389605967,0.1366285091706274,
0.11869581323117018,,0.0,,2.3681501150131226,2.0321951508522034,,0.015627298389605967,0.13662850917062663,
0.12230139542327834,,0.0,,2.3662904500961304,2.033149778842926,,0.01626375042057776,0.14031945247074457,
0.12597415956355462,,0.0,,2.362870693206787,2.0343872904777527,,0.016373134964994523,0.14433306322029346,
0.1255410735457474,,0.0,,2.350097179412842,2.0349578261375427,,0.016319036740868015,0.14491629738599246,
0.12546439266148468,,0.0,,2.314913749694824,2.050093352794647,,0.0160859403041742,0.14987371541185035,
0.10611344303823955,,0.0,,2.2859363555908203,2.0974544882774353,,0.017802584197697334,0.13912532318787602,
0.11005750055811347,,0.0,,2.2824381589889526,2.1325501799583435,,0.01913820833909699,0.14737198098923884,
0.09215721400649102,,0.0,,2.2887314558029175,2.1654165387153625,,0.019076977569117155,0.1359161118530517,
0.09777918354336634,,0.0,,2.300822138786316,2.2005195021629333,,0.019400878204615626,0.14508585943200233,
0.0985876881798049,,0.0,,2.320504665374756,2.251346468925476,,0.020292066144297044,0.1490530157707971,
0.09796672044505783,,0.0,,2.3475197553634644,2.3200125098228455,,0.02200452329771948,0.15137141635983167,
0.2962875820237372,,0.0,,5.171623468399048,5.131287336349487,,0.36983623744337574,0.11447887960768134,
0.1075910714110151,,1.6606811200124632,,27.791802644729614,14.499323606491089,,1.36692079432802,1.7855312374145087,
0.058275135220284824,,5.533757664563788,,5.526376008987427,6.946763634681702,,3.397461266458189,0.8587419722330097,
0.05927583544718118,,9.48381701978426,,15.828847408294678,6.375150442123413,,6.189565901127688,0.4602318756306899,
0.37357100693137113,,5.400517616770909,,12.876935720443726,11.265894651412964,,3.14015583274624,2.7612805852934925,
0.5164582707869734,,6.364363669141972,,10.00995421409607,11.572697877883911,,3.7910231564820407,2.7438710528188315,
0.15840180522211256,,12.21565921489301,,5.598302960395813,10.297502040863037,,5.69715828556712,4.272138436225362,
