,mean,std
left_distance_errors,,
right_distance_errors,1.6129371650350068,1.7325705319180222
left_bearing_errors,,
right_bearing_errors,2.6400884780930314,6.080333732396789
ego_cov_list,18.38617701763692,17.129692323619537
left_cov_list,,
right_cov_list,14.298937890840614,11.860104228693455
ego_abs_error,1.917038244107184,1.8261322476324449
left_abs_error,,
right_abs_error,2.8329437200004195,2.2354836896686234
