left_distance_errors,left_distance_errors_std,right_distance_errors,right_distance_errors_std,left_bearing_errors,left_bearing_errors_std,right_bearing_errors,right_bearing_errors_std,ego_cov_list,ego_cov_list_std,left_cov_list,left_cov_list_std,right_cov_list,right_cov_list_std,ego_abs_error,ego_abs_error_std,left_abs_error,left_abs_error_std,right_abs_error,right_abs_error_std
,,0.2510970607752512,0.3093808696626759,,,0.08915589101287764,0.1260854702358691,1.994331926107407,0.05546622201785245,,,1.8188587725162506,0.3014949941586183,0.23494776475821266,0.014954143815320014,,,0.2381014553922405,0.1849389972492085
,,0.2510970607752512,0.3093808696626759,,,0.08915589101287764,0.1260854702358691,1.994331926107407,0.05546622201785245,,,1.8188587725162506,0.3014949941586183,0.23494776475821266,0.014954143815320014,,,0.2381014553922392,0.18493899724920668
,,0.2510970607752512,0.3093808696626759,,,0.08915589101287764,0.1260854702358691,1.994331926107407,0.05546622201785245,,,1.8188587725162506,0.3014949941586183,0.23494776475821266,0.014954143815320014,,,0.2381014553922405,0.1849389972492085
,,0.2510970607752512,0.3093808696626759,,,0.08915589101287764,0.1260854702358691,1.994331926107407,0.05546622201785245,,,1.8188587725162506,0.3014949941586183,0.23494776475821266,0.014954143815320014,,,0.2381014553922405,0.1849389972492085
,,0.2458831764647442,0.3020073237581127,,,0.08915589101287764,0.1260854702358691,1.994331926107407,0.05546622201785245,,,1.8188587725162506,0.3014949941586183,0.23520554418406944,0.015318698975467442,,,0.2332899151816063,0.17813445182742613
,,0.23841083966985363,0.29143984372015896,,,0.08915589101287764,0.1260854702358691,1.9944402873516085,0.055312976076667,,,1.8188116252422333,0.30156167047296256,0.2366042396686998,0.017296753099461697,,,0.2265302781910842,0.16857488151871092
,,0.2398246060427027,0.2934392112986691,,,0.08915589101287764,0.1260854702358691,1.9948177337646487,0.05477918624027653,,,1.8184715509414673,0.30204260816132034,0.23728956805010454,0.018265953791123484,,,0.22821229184789651,0.17095360804427165
,,0.25219374693315894,0.31093181810085596,,,0.08915589101287764,0.1260854702358691,1.9937060177326205,0.05635139013027841,,,1.814584195613861,0.30754015878738433,0.23897307834388526,0.020646796880982893,,,0.2418450097877847,0.19023318264686853
,,0.2636270124740676,0.32710089729102193,,,0.08915589101287764,0.1260854702358691,1.9986960589885712,0.04929440610931149,,,1.800381064414978,0.3276264195570092,0.2397647859914542,0.021766440573609394,,,0.2542671132235153,0.20780068979888017
,,0.26667891315102565,0.3314169366193916,,,0.08915589101287764,0.1260854702358691,2.0102480649948125,0.03295740254266992,,,1.7899271547794342,0.3424104803434179,0.24173625134470636,0.024554513613927256,,,0.25898508758250127,0.21447291312428668
,,0.29176584078358303,0.3781621750101582,,,0.09463817714736145,0.13383859364006606,2.022905021905899,0.015057762420639229,,,1.7851160764694214,0.3492143725390772,0.24230999519162089,0.023957387657717724,,,0.281850277672704,0.25810827106674533
,,0.2921529606378676,0.37965075218272065,,,0.09770850279386856,0.13818068981025836,2.052377313375473,0.04266900581709487,,,1.783752828836441,0.3515015555672179,0.24450902825481374,0.02324529764393969,,,0.27953104956659586,0.2607518447569503
,,0.2800104579923257,0.3651747348298068,,,0.1023891240081431,0.14480008781181664,2.0717139542102814,0.07513834785400911,,,1.7884994447231293,0.33599598288115107,0.24646646628063418,0.020822435286396043,,,0.26553828616257397,0.24595453470183345
,,0.2897918348600683,0.3794659067160778,,,0.1092945840175419,0.15456588301153346,2.0969503223896027,0.1131469658970125,,,1.8007423877716064,0.31188516169406943,0.2503624151833406,0.01446114066419347,,,0.26712077584566124,0.26382002994056125
,,0.296668852947981,0.36815656055542484,,,0.1145105035433869,0.1619423071452301,2.1305739283561707,0.15734851541966144,,,1.8160401582717896,0.28293853754939335,0.25369943269394596,0.009714568210934802,,,0.26745330020140295,0.2521195398204208
,,0.07541236915956515,0.06419440811187574,,,0.1194144278640685,0.1688775034283893,2.17279651761055,0.20916068996531592,,,1.8407535254955292,0.24582355913536647,0.3350729200326743,0.11837787922584139,,,0.9202091756327084,1.187761068760287
,,0.1444949325300939,0.1524582086855736,,,0.1323439652278868,0.18716263052351081,9.531689524650574,10.602088464672272,,,4.065636217594147,2.8977262374732575,0.7371212788246225,0.6658412473019198,,,0.9475147701014341,1.2238454709827291
,,0.1521595135725988,0.16959307039616697,,,0.1373716969756038,0.19427291694910598,12.613121509552,14.891645506267336,,,4.164487183094025,3.0307595616374075,0.22854770624937065,0.06532688363329044,,,1.011544470603448,1.3216186517166915
,,0.2671486084886716,0.041431023408018706,,,0.1607197680454623,0.2272920757113508,18.296452939510345,22.880654229904803,,,4.438853442668915,3.3985078422217567,0.4039057707810809,0.3122096951602722,,,1.095089341557579,1.1393000611591428
,,0.3605671284777045,0.1272786480433994,,,2.1006973365616344,2.9708346638065017,23.193484783172607,16.187516112818454,,,11.763133108615875,6.950648449404756,2.0121538736225175,2.5850189549308276,,,2.534223689363886,0.982501202569651
,,1.168205780561678,0.3713564006070132,,,0.13277845656805096,0.18777709406950463,22.418815195560455,17.525512747337295,,,8.359314918518066,2.1184142340611194,2.749826886451422,3.243130771241237,,,2.5524890256976005,1.56857472308151
,,2.581619298716795,2.520719458078993,,,0.0,0.0,21.466880440711975,18.0792556604561,,,14.70720785856247,15.689556576752546,2.7783769653018857,1.896662871187293,,,4.900694566684173,0.5049629481263
,,2.6163710479272027,2.5489974761244296,,,0.0,0.0,30.528488129377365,21.56759997389416,,,29.6361745595932,3.64455111287841,2.765011194998114,1.9029184997262085,,,4.931210812796259,0.5903569265937427
